Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRNORM,Norway Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Norway,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Open,High,Low,Close,Percent_Gdp
06/30/1968,FXRNORM,,,,669.75,1.12
07/31/1968,FXRNORM,,,,685.95,1.15
08/30/1968,FXRNORM,,,,706.65,1.18
09/30/1968,FXRNORM,,,,668.55,1.12
10/31/1968,FXRNORM,,,,635.09,1.06
11/30/1968,FXRNORM,,,,622.99,1.04
12/31/1968,FXRNORM,,,,678.7,1.06
01/31/1969,FXRNORM,,,,560.5,0.88
02/28/1969,FXRNORM,,,,579.1,0.91
03/31/1969,FXRNORM,,,,611,0.96
04/30/1969,FXRNORM,,,,615.3,0.97
05/31/1969,FXRNORM,,,,610.51,0.96
06/30/1969,FXRNORM,,,,632.81,0.99
07/31/1969,FXRNORM,,,,618.91,0.97
08/31/1969,FXRNORM,,,,627.01,0.98
09/30/1969,FXRNORM,,,,573.89,0.9
10/31/1969,FXRNORM,,,,576.96,0.91
11/30/1969,FXRNORM,,,,607.76,0.95
12/31/1969,FXRNORM,,,,684.96,0.99
01/31/1970,FXRNORM,,,,590.16,0.85
02/28/1970,FXRNORM,,,,653.87,0.94
03/31/1970,FXRNORM,,,,654.87,0.94
04/30/1970,FXRNORM,,,,655.17,0.94
05/31/1970,FXRNORM,,,,642.77,0.93
06/30/1970,FXRNORM,,,,635.47,0.92
07/31/1970,FXRNORM,,,,641.37,0.92
08/31/1970,FXRNORM,,,,701.46,1.01
09/30/1970,FXRNORM,,,,672.27,0.97
10/31/1970,FXRNORM,,,,697.37,1
11/30/1970,FXRNORM,,,,677.47,0.98
12/31/1970,FXRNORM,,,,787.88,0.99
01/31/1971,FXRNORM,,,,739.66,0.93
02/28/1971,FXRNORM,,,,719.36,0.9
03/31/1971,FXRNORM,,,,848.86,1.06
04/30/1971,FXRNORM,,,,856.69,1.07
05/31/1971,FXRNORM,,,,897.56,1.12
06/30/1971,FXRNORM,,,,927.66,1.16
07/31/1971,FXRNORM,,,,983.36,1.23
08/31/1971,FXRNORM,,,,1090.93,1.37
09/30/1971,FXRNORM,,,,1088.23,1.36
10/31/1971,FXRNORM,,,,1080.91,1.35
11/30/1971,FXRNORM,,,,1072.51,1.34
12/31/1971,FXRNORM,,,,1118.4,1.26
01/31/1972,FXRNORM,,,,1161.02,1.3
02/29/1972,FXRNORM,,,,1144.12,1.28
03/31/1972,FXRNORM,,,,1173.42,1.32
04/30/1972,FXRNORM,,,,1176.76,1.32
05/31/1972,FXRNORM,,,,1186.08,1.33
06/30/1972,FXRNORM,,,,1252.68,1.41
07/31/1972,FXRNORM,,,,1355.26,1.52
08/31/1972,FXRNORM,,,,1356.72,1.52
09/30/1972,FXRNORM,,,,1316.05,1.48
10/31/1972,FXRNORM,,,,1285.14,1.44
11/30/1972,FXRNORM,,,,1287.85,1.45
12/31/1972,FXRNORM,,,,1287.75,1.31
01/31/1973,FXRNORM,,,,1288.59,1.31
02/28/1973,FXRNORM,,,,1328.98,1.35
03/31/1973,FXRNORM,,,,1327.28,1.35
04/30/1973,FXRNORM,,,,1426.23,1.45
05/31/1973,FXRNORM,,,,1523.25,1.55
06/30/1973,FXRNORM,,,,1537.75,1.56
07/31/1973,FXRNORM,,,,1579.35,1.6
08/31/1973,FXRNORM,,,,1560.34,1.59
09/30/1973,FXRNORM,,,,1537.04,1.56
10/31/1973,FXRNORM,,,,1471.77,1.5
11/30/1973,FXRNORM,,,,1529.47,1.55
12/31/1973,FXRNORM,,,,1533.47,1.37
01/31/1974,FXRNORM,,,,1715.86,1.53
02/28/1974,FXRNORM,,,,1777.36,1.59
03/31/1974,FXRNORM,,,,1746.69,1.56
04/30/1974,FXRNORM,,,,1650.29,1.48
05/31/1974,FXRNORM,,,,1613.32,1.44
06/30/1974,FXRNORM,,,,1585.24,1.42
07/31/1974,FXRNORM,,,,1601.71,1.43
08/31/1974,FXRNORM,,,,1661.55,1.49
09/30/1974,FXRNORM,,,,1826.46,1.63
10/31/1974,FXRNORM,,,,2071.57,1.85
11/30/1974,FXRNORM,,,,2031.73,1.82
12/31/1974,FXRNORM,,,,1886.63,1.45
01/31/1975,FXRNORM,,,,1784.28,1.38
02/28/1975,FXRNORM,,,,1672.94,1.29
03/31/1975,FXRNORM,,,,1672.59,1.29
04/30/1975,FXRNORM,,,,1796.4,1.38
05/31/1975,FXRNORM,,,,1855.38,1.43
06/30/1975,FXRNORM,,,,2032.74,1.57
07/31/1975,FXRNORM,,,,2222.18,1.71
08/31/1975,FXRNORM,,,,2207.3,1.7
09/30/1975,FXRNORM,,,,2092.51,1.61
10/31/1975,FXRNORM,,,,2048.2,1.58
11/30/1975,FXRNORM,,,,2113.66,1.63
12/31/1975,FXRNORM,,,,2196.47,1.48
01/31/1976,FXRNORM,,,,2049.68,1.38
02/29/1976,FXRNORM,,,,2213,1.49
03/31/1976,FXRNORM,,,,2072.22,1.39
04/30/1976,FXRNORM,,,,2150.38,1.45
05/31/1976,FXRNORM,,,,2166.78,1.46
06/30/1976,FXRNORM,,,,2234.31,1.5
07/31/1976,FXRNORM,,,,2317.25,1.56
08/30/1976,FXRNORM,,,,2137.17,1.44
09/30/1976,FXRNORM,,,,2157.4,1.45
10/31/1976,FXRNORM,,,,2049.33,1.38
11/30/1976,FXRNORM,,,,2093.98,1.41
12/31/1976,FXRNORM,,,,2189.43,1.28
01/31/1977,FXRNORM,,,,1941.79,1.14
02/28/1977,FXRNORM,,,,2111.19,1.24
03/31/1977,FXRNORM,,,,2125.08,1.24
04/30/1977,FXRNORM,,,,2326.29,1.36
05/31/1977,FXRNORM,,,,2494.94,1.46
06/30/1977,FXRNORM,,,,2803.74,1.64
07/31/1977,FXRNORM,,,,2757.42,1.62
08/31/1977,FXRNORM,,,,2815.2,1.65
09/30/1977,FXRNORM,,,,2848.65,1.67
10/31/1977,FXRNORM,,,,2716.51,1.59
11/30/1977,FXRNORM,,,,2159.99,1.27
12/31/1977,FXRNORM,,,,2195.61,1.15
01/31/1978,FXRNORM,,,,2209,1.15
02/28/1978,FXRNORM,,,,1981.77,1.03
03/31/1978,FXRNORM,,,,2337.29,1.22
04/30/1978,FXRNORM,,,,2650.03,1.38
05/31/1978,FXRNORM,,,,2991.05,1.56
06/30/1978,FXRNORM,,,,3120.19,1.63
07/31/1978,FXRNORM,,,,3218.34,1.68
08/31/1978,FXRNORM,,,,3130.33,1.63
09/30/1978,FXRNORM,,,,2923,1.53
10/31/1978,FXRNORM,,,,2840.21,1.48
11/30/1978,FXRNORM,,,,2537.4,1.32
12/31/1978,FXRNORM,,,,2860.68,1.19
01/31/1979,FXRNORM,,,,3113.54,1.29
02/28/1979,FXRNORM,,,,3322.91,1.38
03/31/1979,FXRNORM,,,,3671.62,1.52
04/30/1979,FXRNORM,,,,3712.37,1.54
05/31/1979,FXRNORM,,,,3957.31,1.64
06/30/1979,FXRNORM,,,,3924.75,1.63
07/31/1979,FXRNORM,,,,3910.5,1.62
08/31/1979,FXRNORM,,,,4004.54,1.66
09/30/1979,FXRNORM,,,,4240.74,1.76
10/31/1979,FXRNORM,,,,4346.82,1.8
11/30/1979,FXRNORM,,,,4366.08,1.81
12/31/1979,FXRNORM,,,,4215.23,1.58
01/31/1980,FXRNORM,,,,4238.29,1.59
02/29/1980,FXRNORM,,,,4238.73,1.59
03/31/1980,FXRNORM,,,,4462.24,1.68
04/30/1980,FXRNORM,,,,4721.95,1.77
05/31/1980,FXRNORM,,,,4916.17,1.85
06/30/1980,FXRNORM,,,,4922.58,1.85
07/31/1980,FXRNORM,,,,4727.27,1.78
08/31/1980,FXRNORM,,,,4755.79,1.79
09/30/1980,FXRNORM,,,,5056.51,1.9
10/31/1980,FXRNORM,,,,6250.79,2.35
11/30/1980,FXRNORM,,,,6158.49,2.31
12/31/1980,FXRNORM,,,,6048,1.92
01/31/1981,FXRNORM,,,,5321.72,1.69
02/28/1981,FXRNORM,,,,4920.39,1.56
03/31/1981,FXRNORM,,,,5254.83,1.67
04/30/1981,FXRNORM,,,,5944.14,1.89
05/31/1981,FXRNORM,,,,6385.97,2.03
06/30/1981,FXRNORM,,,,6211.24,1.97
07/31/1981,FXRNORM,,,,5481.13,1.74
08/31/1981,FXRNORM,,,,5680.66,1.81
09/30/1981,FXRNORM,,,,5463.04,1.74
10/31/1981,FXRNORM,,,,6377.84,2.03
11/30/1981,FXRNORM,,,,6463.12,2.05
12/31/1981,FXRNORM,,,,6252.87,1.73
01/31/1982,FXRNORM,,,,6024.16,1.67
02/28/1982,FXRNORM,,,,5805.7,1.61
03/31/1982,FXRNORM,,,,6064.94,1.68
04/30/1982,FXRNORM,,,,6514.97,1.81
05/31/1982,FXRNORM,,,,7261.25,2.01
06/30/1982,FXRNORM,,,,6693.06,1.85
07/31/1982,FXRNORM,,,,6655.19,1.84
08/31/1982,FXRNORM,,,,6684.99,1.85
09/30/1982,FXRNORM,,,,6870.45,1.9
10/31/1982,FXRNORM,,,,7184.64,1.99
11/30/1982,FXRNORM,,,,7304.23,2.02
12/31/1982,FXRNORM,,,,6873.51,1.72
01/31/1983,FXRNORM,,,,6619.71,1.66
02/28/1983,FXRNORM,,,,6366.42,1.59
03/31/1983,FXRNORM,,,,5884.71,1.47
04/30/1983,FXRNORM,,,,6416.91,1.61
05/31/1983,FXRNORM,,,,7271.61,1.82
06/30/1983,FXRNORM,,,,6520.34,1.63
07/31/1983,FXRNORM,,,,5752.95,1.44
08/31/1983,FXRNORM,,,,5944.68,1.49
09/30/1983,FXRNORM,,,,6103.67,1.53
10/31/1983,FXRNORM,,,,6606.04,1.65
11/30/1983,FXRNORM,,,,6600.89,1.65
12/31/1983,FXRNORM,,,,6629.18,1.49
01/31/1984,FXRNORM,,,,6722.56,1.52
02/29/1984,FXRNORM,,,,6985.72,1.58
03/31/1984,FXRNORM,,,,6827.12,1.54
04/30/1984,FXRNORM,,,,7996.14,1.8
05/31/1984,FXRNORM,,,,7725.81,1.74
06/30/1984,FXRNORM,,,,8367.32,1.89
07/31/1984,FXRNORM,,,,7973.11,1.8
08/31/1984,FXRNORM,,,,8334.96,1.88
09/30/1984,FXRNORM,,,,8385.73,1.89
10/31/1984,FXRNORM,,,,9075.45,2.05
11/30/1984,FXRNORM,,,,9611.41,2.17
12/31/1984,FXRNORM,,,,9365.04,1.88
01/31/1985,FXRNORM,,,,9439.38,1.89
02/28/1985,FXRNORM,,,,9674.74,1.94
03/31/1985,FXRNORM,,,,10302.7,2.07
04/30/1985,FXRNORM,,,,11513.6,2.31
05/31/1985,FXRNORM,,,,11760.7,2.36
06/30/1985,FXRNORM,,,,11966.1,2.4
07/31/1985,FXRNORM,,,,13317.5,2.67
08/31/1985,FXRNORM,,,,13045,2.62
09/30/1985,FXRNORM,,,,13409.9,2.69
10/31/1985,FXRNORM,,,,13919,2.79
11/30/1985,FXRNORM,,,,13932.7,2.79
12/31/1985,FXRNORM,,,,13916.7,2.52
01/31/1986,FXRNORM,,,,14098.6,2.55
02/28/1986,FXRNORM,,,,13717.5,2.48
03/31/1986,FXRNORM,,,,13475.1,2.44
04/30/1986,FXRNORM,,,,13295.2,2.41
05/31/1986,FXRNORM,,,,12181.3,2.21
06/30/1986,FXRNORM,,,,14015.8,2.54
07/31/1986,FXRNORM,,,,14292.1,2.59
08/31/1986,FXRNORM,,,,14456,2.62
09/30/1986,FXRNORM,,,,14642.7,2.65
10/31/1986,FXRNORM,,,,13191.2,2.39
11/30/1986,FXRNORM,,,,12643.8,2.29
12/31/1986,FXRNORM,,,,12524.6,2.19
01/31/1987,FXRNORM,,,,13022.2,2.28
02/28/1987,FXRNORM,,,,12861.1,2.25
03/31/1987,FXRNORM,,,,13116.9,2.3
04/30/1987,FXRNORM,,,,13859.3,2.43
05/31/1987,FXRNORM,,,,13150.1,2.3
06/30/1987,FXRNORM,,,,13461,2.36
07/31/1987,FXRNORM,,,,13748.5,2.41
08/31/1987,FXRNORM,,,,14389.7,2.52
09/30/1987,FXRNORM,,,,14779.4,2.59
10/31/1987,FXRNORM,,,,15527.9,2.72
11/30/1987,FXRNORM,,,,15324.3,2.68
12/31/1987,FXRNORM,,,,14276.5,2.29
01/31/1988,FXRNORM,,,,13707.3,2.2
02/29/1988,FXRNORM,,,,13748.9,2.21
03/31/1988,FXRNORM,,,,14500.9,2.33
04/30/1988,FXRNORM,,,,14870.6,2.39
05/31/1988,FXRNORM,,,,15421,2.48
06/30/1988,FXRNORM,,,,14605.8,2.34
07/31/1988,FXRNORM,,,,13913.9,2.23
08/31/1988,FXRNORM,,,,13406.6,2.15
09/30/1988,FXRNORM,,,,13504.1,2.17
10/31/1988,FXRNORM,,,,14179,2.28
11/30/1988,FXRNORM,,,,12994.3,2.09
12/31/1988,FXRNORM,,,,13267.7,2
01/31/1989,FXRNORM,,,,13606.4,2.05
02/28/1989,FXRNORM,,,,13772.7,2.07
